Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_3h
54525 2025 10 8 12 1025.2000 1025.9000 1025.2000 1024.1000 3.2000 5.6000 62 26 2.1000 60 8.5000 8.6000 8.5000 92 92 6.3000 
54525 2025 10 8 15 1024.9000 1025.6000 1025.0000 1024.7000 3.0000 4.5000 113 78 2.4000 92 8.5000 8.5000 8.5000 93 93 9.5000 
54525 2025 10 8 18 1023.9000 1024.6000 1024.2000 1023.8000 2.8000 4.7000 37 44 2.4000 54 8.4000 8.5000 8.3000 93 93 2.3000 
54525 2025 10 8 21 1023.0000 1023.7000 1023.4000 1023.0000 3.0000 4.8000 48 49 1.7000 35 8.6000 8.6000 8.5000 94 94 7.3000 
54525 2025 10 9 0 1024.1000 1024.8000 1024.2000 1023.7000 2.5000 3.9000 20 34 2.1000 62 9.1000 9.2000 9.0000 94 94 8.7000 
54525 2025 10 9 3 1023.8000 1024.5000 1024.1000 1023.8000 4.8000 8.3000 70 62 3.7000 65 8.2000 8.6000 8.2000 92 92 10.6000 
54525 2025 10 9 6 1022.7000 1023.4000 1023.3000 1022.7000 2.4000 4.5000 51 49 2.1000 57 8.4000 8.5000 8.3000 93 93 11.3000 
54525 2025 10 9 9 1022.2000 1022.9000 1022.3000 1021.9000 2.6000 4.2000 82 63 1.9000 59 8.4000 8.5000 8.4000 94 93 6.2000 
54525 2025 10 9 12 1022.5000 1023.2000 1022.8000 1022.5000 1.5000 2.4000 34 354 0.6000 69 8.7000 8.8000 8.7000 90 87 0.3000 
54525 2025 10 9 15 1022.4000 1023.1000 1022.6000 1022.4000 0.9000 1.3000 281 261 0.7000 271 8.9000 8.9000 8.9000 94 93 0.4000 
54525 2025 10 9 18 1022.6000 1023.3000 1022.9000 1022.5000 2.1000 5.3000 309 309 1.9000 339 9.9000 9.9000 9.5000 93 93 1.5000 
54525 2025 10 9 21 1021.7000 1022.4000 1021.8000 1020.6000 1.3000 2.2000 332 340 1.5000 327 9.9000 9.9000 9.8000 94 93 0.5000 
54526 2025 10 5 0 1016.3000 1016.6000 1016.6000 1016.3000 1.1000 2.2000 225 170 0.9000 233 19.5000 19.5000 19.3000 91 88 0.2000 
54526 2025 10 5 3 1017.1000 1017.4000 1017.5000 1016.9000 1.5000 3.2000 96 14 1.0000 79 19.9000 20.2000 19.9000 92 88 1.4000 
54526 2025 10 5 6 1016.5000 1016.8000 1016.5000 1016.2000 2.6000 5.4000 73 53 1.5000 90 16.4000 17.1000 16.4000 93 91 2.8000 
54526 2025 10 5 9 1016.3000 1016.6000 1016.4000 1015.9000 2.9000 5.2000 92 81 1.3000 100 15.6000 16.0000 15.6000 90 89 2.6000 
54526 2025 10 5 12 1017.8000 1018.1000 1017.9000 1017.7000 2.9000 6.8000 52 69 2.9000 48 15.0000 15.3000 15.0000 90 90 5.1000 
54526 2025 10 5 15 1019.1000 1019.4000 1019.3000 1018.6000 1.7000 4.4000 21 44 0.9000 28 14.1000 14.6000 14.1000 90 88 5.1000 
54526 2025 10 5 18 1018.7000 1019.0000 1018.7000 1018.3000 2.1000 5.0000 24 34 2.3000 34 12.7000 13.1000 12.7000 85 85 3.3000 
54526 2025 10 5 21 1019.1000 1019.4000 1019.2000 1018.8000 2.3000 5.0000 39 34 1.8000 29 11.6000 12.0000 11.6000 84 83 4.9000 
54526 2025 10 6 0 1019.8000 1020.1000 1019.8000 1019.2000 1.2000 2.4000 32 18 0.6000 43 13.1000 13.1000 12.1000 73 71 0.3000 
54526 2025 10 6 3 1020.6000 1020.9000 1020.9000 1020.3000 2.7000 4.8000 356 359 2.9000 355 15.1000 15.1000 14.6000 57 55 0.0000 
54526 2025 10 6 6 1019.4000 1019.7000 1019.7000 1019.3000 2.8000 4.1000 344 319 2.1000 352 17.6000 17.8000 17.0000 48 42 0.0000 
54526 2025 10 6 9 1019.4000 1019.7000 1019.4000 1019.1000 2.0000 3.6000 344 331 0.8000 334 18.9000 19.3000 18.5000 43 40 0.0000 
54526 2025 10 6 12 1020.0000 1020.3000 1020.0000 1019.6000 0.8000 1.2000 192 135 0.6000 205 14.1000 14.5000 13.9000 79 73 0.0000 
54526 2025 10 6 15 1020.7000 1021.0000 1020.7000 1020.2000 0.7000 0.9000 176 204 0.7000 179 12.7000 13.2000 12.7000 89 88 0.0000 
54526 2025 10 6 18 1020.4000 1020.7000 1020.9000 1019.5000 1.3000 2.2000 269 218 0.9000 281 15.0000 15.0000 13.5000 75 74 0.0000 
54526 2025 10 6 21 1020.2000 1020.5000 1020.5000 1020.2000 0.9000 1.5000 231 243 0.5000 231 15.1000 15.1000 14.8000 77 73 0.0000 
54526 2025 10 7 0 1020.2000 1020.5000 1020.2000 1020.0000 0.9000 1.3000 176 999017 0.0000 169 16.7000 16.7000 14.6000 70 70 0.0000 
54526 2025 10 7 3 1020.0000 1020.3000 1020.2000 1020.0000 1.8000 3.5000 250 211 1.5000 249 21.0000 21.0000 20.0000 50 47 0.0000 
54526 2025 10 7 6 1018.2000 1018.5000 1019.0000 1018.2000 1.7000 3.1000 295 307 1.2000 239 23.4000 23.5000 22.1000 46 45 0.0000 
54526 2025 10 7 9 1018.8000 1019.1000 1018.8000 1018.3000 2.0000 3.3000 260 190 0.8000 246 21.8000 22.7000 21.8000 56 50 0.0000 
54526 2025 10 7 12 1019.6000 1019.9000 1019.6000 1019.3000 0.7000 0.9000 217 153 0.5000 190 17.7000 19.0000 17.7000 80 75 0.0000 
54526 2025 10 7 15 1019.9000 1020.2000 1020.0000 1019.7000 1.0000 1.4000 187 999017 0.2000 196 16.9000 17.2000 16.4000 88 86 0.0000 
54526 2025 10 7 18 1019.7000 1020.0000 1020.1000 1019.5000 0.9000 1.2000 148 999017 0.0000 166 17.8000 18.0000 17.5000 86 85 0.0000 
54526 2025 10 7 21 1022.0000 1022.3000 1022.0000 1021.3000 1.9000 3.9000 93 71 1.5000 89 17.8000 17.9000 17.7000 87 87 1.4000 
54526 2025 10 8 0 1023.9000 1024.2000 1023.9000 1023.3000 3.7000 7.1000 78 82 2.5000 103 15.1000 15.1000 14.7000 61 61 1.9000 
54526 2025 10 8 3 1024.3000 1024.6000 1024.5000 1024.1000 5.0000 10.8000 94 93 2.9000 100 14.9000 15.4000 14.9000 48 47 0.0000 
54526 2025 10 8 6 1023.5000 1023.8000 1023.6000 1023.2000 5.6000 12.1000 77 108 1.6000 91 13.1000 13.7000 13.1000 54 46 0.2000 
54526 2025 10 8 9 1023.1000 1023.4000 1023.3000 1022.8000 3.0000 7.2000 35 31 3.1000 38 9.6000 9.8000 9.6000 91 86 4.3000 
54526 2025 10 8 12 1024.1000 1024.4000 1024.3000 1023.6000 4.0000 9.5000 52 21 2.0000 48 8.8000 9.0000 8.7000 92 90 7.6000 
54526 2025 10 8 15 1024.1000 1024.4000 1024.8000 1024.0000 4.2000 10.3000 37 42 2.9000 47 8.3000 8.5000 8.3000 91 90 11.4000 
54526 2025 10 8 18 1023.3000 1023.6000 1023.6000 1023.3000 3.1000 7.4000 43 42 3.4000 34 8.5000 8.6000 8.4000 93 93 10.1000 
54526 2025 10 8 21 1022.8000 1023.1000 1023.0000 1022.6000 2.7000 6.1000 10 38 2.6000 19 8.4000 8.4000 8.3000 94 94 14.0000 
54526 2025 10 9 0 1023.7000 1024.0000 1023.8000 1023.5000 3.2000 6.5000 41 40 2.6000 49 8.9000 8.9000 8.8000 94 94 9.2000 
54526 2025 10 9 3 1023.5000 1023.8000 1023.9000 1023.3000 4.1000 9.0000 56 37 3.1000 46 8.9000 9.0000 8.8000 92 92 7.6000 
